spikerate,info,index,genotype,months,.
19.22222222,28.00384683,8,WT,0,
28.55555556,30.84444838,75,WT,0,
17.44444444,22.75972424,78,WT,0,
24.66666667,23.34330125,95,WT,0,
15,25.55416087,171,WT,0,
19.22222222,27.73036657,187,WT,0,
16.11111111,22.36853857,242,WT,0,
20.88888889,21.7362695,263,WT,0,
29.66666667,34.05929132,286,WT,0,
27.55555556,35.56892781,290,WT,0,
30.66666667,40.18532941,298,WT,0,
28.44444444,29.06838167,303,WT,0,
40.66666667,35.15063363,318,WT,0,
39.22222222,43.54941629,322,WT,0,
11.44444444,22.73471905,337,WT,0,
24.22222222,25.78635899,344,WT,0,
20.22222222,31.91811822,346,WT,0,
20.66666667,21.36568053,370,WT,0,
20.66666667,21.86573493,390,WT,0,
22.55555556,28.69221719,410,WT,0,
39.66666667,44.62491178,419,WT,0,
11.66666667,22.93331522,432,WT,0,
54.55555556,48.54869012,438,WT,0,
32.55555556,32.92045021,454,WT,0,
23.44444444,25.93028837,471,WT,0,
25,32.44427538,479,WT,0,
38.44444444,27.5440154,513,WT,0,
24.11111111,28.09089848,531,WT,0,
15.33333333,24.63166375,6,WT,0,
28.22222222,32.61687442,62,WT,0,
27.77777778,27.52194954,146,WT,0,
36.66666667,45.45130843,169,WT,0,
17.88888889,26.17213116,177,WT,0,
27.88888889,27.04979335,212,WT,0,
36.44444444,28.92164935,273,WT,0,
32.88888889,29.54922498,277,WT,0,
32,41.40878832,285,WT,0,
42.44444444,37.885925,290,WT,0,
36.22222222,34.49178654,296,WT,0,
35.33333333,40.36211776,307,WT,0,
41.66666667,41.03409333,315,WT,0,
41.77777778,49.82707305,320,WT,0,
45.33333333,40.31979252,323,WT,0,
14.11111111,25.28228486,353,WT,0,
44.77777778,43.34050395,374,WT,0,
25.44444444,30.26912333,380,WT,0,
31.22222222,44.89234654,384,WT,0,
40.55555556,41.25429724,394,WT,0,
40.66666667,39.31157613,401,WT,0,
30.22222222,35.74265519,408,WT,0,
29.77777778,32.3233491,429,WT,0,
16.11111111,25.71403837,435,WT,0,
25.44444444,21.76552149,483,WT,0,
23.33333333,30.02573478,493,WT,0,
33.88888889,46.49774724,30,WT,0,
41.55555556,48.1182548,54,WT,0,
35.88888889,47.91607433,84,WT,0,
58.88888889,49.50242425,93,WT,0,
37.88888889,50.53543661,106,WT,0,
43,54.69812564,116,WT,0,
24.33333333,33.72309416,128,WT,0,
20.66666667,33.60357185,155,WT,0,
47.22222222,43.40666856,165,WT,0,
16.66666667,32.15507221,185,WT,0,
30.88888889,37.13815455,196,WT,0,
35.88888889,49.61253026,207,WT,0,
41.44444444,42.96690888,242,WT,0,
23.33333333,35.74130442,256,WT,0,
28.88888889,40.78484244,296,WT,0,
60.66666667,48.06238999,319,WT,0,
17.11111111,31.73212243,330,WT,0,
28.22222222,41.39572391,359,WT,0,
30.55555556,43.38184192,388,WT,0,
35.88888889,34.16742098,398,WT,0,
48.77777778,43.77187922,416,WT,0,
38.11111111,41.76320546,34,WT,0,
35.88888889,29.51595641,39,WT,0,
38.44444444,44.35120178,57,WT,0,
40.77777778,43.64190703,81,WT,0,
39.55555556,43.75834641,90,WT,0,
38.66666667,42.54520861,105,WT,0,
33.77777778,46.10045375,116,WT,0,
