time_to_zero,rf_area,condition,stimulus,.
0.5276,17352.85686,1M,mesopic,
0.3513,4523.762452,1M,mesopic,
0.3301,11600.86222,1M,mesopic,
0.3804,16918.94595,1M,mesopic,
0.3354,17321.05408,1M,mesopic,
0.405,14548.18174,1M,mesopic,
0.5064,16142.80817,1M,mesopic,
0.3871,20245.67995,1M,mesopic,
0.3215,8335.141318,1M,mesopic,
0.2426,28213.03624,1M,mesopic,
0.342,16664.96944,1M,mesopic,
0.4242,19771.92557,1M,mesopic,
0.2804,9601.398567,1M,mesopic,
NA,2563.197682,1M,mesopic,
0.2658,28299.5593,1M,mesopic,
0.5435,12719.08709,1M,mesopic,
0.2313,23939.70653,1M,mesopic,
0.4235,14599.20157,1M,mesopic,
0.2333,51072.67695,1M,mesopic,
0.2539,34099.04286,1M,mesopic,
0.3413,12300.00927,1M,mesopic,
0.3698,12763.36063,1M,mesopic,
0.5906,5873.566233,1M,mesopic,
0.4553,17447.92146,1M,mesopic,
0.3201,30005.33262,1M,mesopic,
0.4593,11455.26013,1M,mesopic,
0.4262,9852.9227,1M,mesopic,
0.3871,12038.43611,1M,mesopic,
NA,21624.75679,1M,mesopic,
0.3924,20384.87956,1M,mesopic,
0.4268,18736.12243,1M,mesopic,
NA,25270.24003,1M,mesopic,
0.5614,11327.19441,1M,mesopic,
0.3559,27620.28858,1M,mesopic,
0.2625,15571.6948,1M,mesopic,
0.3645,35126.71967,1M,mesopic,
0.3692,13344.20994,1M,mesopic,
0.3851,39173.66549,1M,mesopic,
0.2956,31886.77792,1M,mesopic,
0.3367,5120.706593,1M,mesopic,
0.4891,7589.528631,1M,mesopic,
NA,22986.51198,1M,mesopic,
0.2552,19364.01437,1M,mesopic,
0.4679,5417.863096,1M,mesopic,
0.4374,11175.52021,1M,mesopic,
0.5872,13972.43169,1M,mesopic,
0.4713,19009.44988,1M,mesopic,
0.790720795,9075.222876,1M,mesopic,
0.4746,6990.557338,1M,mesopic,
0.4573,9359.996607,1M,mesopic,
0.4891,14659.2205,1M,mesopic,
0.3751,11823.76744,1M,mesopic,
0.4938,8178.976517,1M,mesopic,
0.3314,6674.547136,1M,mesopic,
0.5143,6243.158593,1M,mesopic,
0.34,5299.760401,1M,mesopic,
0.22,20819.82261,1M,mesopic,
0.4713,9836.158704,1M,mesopic,
NA,5525.865883,1M,mesopic,
0.695277548,7875.764273,1M,mesopic,
0.2638,20383.46113,1M,mesopic,
0.3268,13925.95308,1M,mesopic,
0.4076,18505.60891,1M,mesopic,
0.34,7084.316996,1M,mesopic,
0.3062,19614.89034,1M,mesopic,
NA,6753.338795,1M,mesopic,
0.3698,9486.165324,1M,mesopic,
0.2439,13142.4567,1M,mesopic,
0.676719138,33743.95746,1M,mesopic,
0.612427506,20844.15504,1M,mesopic,
0.2598,13104.2789,1M,mesopic,
0.5455,12489.09529,1M,mesopic,
0.4116,16322.37817,1M,mesopic,
0.338,17155.07938,1M,mesopic,
0.3354,17308.346,1M,mesopic,
0.4686,17927.68025,1M,mesopic,
0.2486,14455.19165,1M,mesopic,
0.5157,16931.94723,1M,mesopic,
0.2863,10444.76947,1M,mesopic,
0.236,17120.1928,1M,mesopic,
0.517,7928.824688,1M,mesopic,
NA,14198.62353,1M,mesopic,
0.2863,6023.16581,1M,mesopic,
0.5853,21496.35286,1M,mesopic,
0.3095,27472.70079,1M,mesopic,
0.4819,10325.97088,1M,mesopic,
0.4832,23420.05807,1M,mesopic,
0.2472,31228.64763,1M,mesopic,
0.2671,12343.96414,1M,mesopic,
0.3473,5305.497013,1M,mesopic,
0.4746,16569.90864,1M,mesopic,
0.2976,9441.206252,1M,mesopic,
0.2254,10443.42028,1M,mesopic,
0.3645,7680.571846,1M,mesopic,
NA,6549.968642,1M,mesopic,
0.4056,9576.662734,1M,mesopic,
0.3626,17275.65521,1M,mesopic,
0.3128,5130.486889,1M,mesopic,
0.5415,4991.996534,1M,mesopic,
0.3201,27172.74062,1M,mesopic,
0.4235,6447.609661,1M,mesopic,
0.4706,10371.1352,1M,mesopic,
0.3857,12118.32394,1M,mesopic,
0.2837,22227.63857,1M,mesopic,
0.462,8657.561405,1M,mesopic,
0.3268,10327.39638,1M,mesopic,
0.5176,6933.837568,1M,mesopic,
NA,33402.49884,1M,mesopic,
0.4235,13904.04887,1M,mesopic,
0.568,6362.111349,1M,mesopic,
0.5647,19135.4407,1M,mesopic,
NA,26929.41916,1M,mesopic,
0.2287,39085.45133,1M,mesopic,
0.4772,6499.626043,1M,mesopic,
0.2717,23730.26126,1M,mesopic,
0.4063,5916.57019,1M,mesopic,
0.2147,34617.88338,1M,mesopic,
0.5766,8895.488439,1M,mesopic,
0.232,41117.67141,1M,mesopic,
0.4136,57611.28478,1M,mesopic,
0.4819,20784.26653,1M,mesopic,
0.4182,5443.589811,1M,mesopic,
0.4255,12190.3416,1M,mesopic,
0.4182,13147.24024,1M,mesopic,
0.3645,25749.36282,1M,mesopic,
0.4103,8281.682047,1M,mesopic,
0.4514,19533.20566,1M,mesopic,
0.4063,14965.62842,1M,mesopic,
0.5223,34893.27098,1M,mesopic,
0.4229,9945.442562,1M,mesopic,
0.4063,22865.41085,1M,mesopic,
0.3606,30984.56342,1M,mesopic,
0.578,11904.42543,1M,mesopic,
0.4089,11390.29484,1M,mesopic,
0.4421,18300.2496,1M,mesopic,
0.4321,14572.85595,1M,mesopic,
0.3268,13220.92045,1M,mesopic,
0.4308,18059.19317,1M,mesopic,
0.401,15473.47301,1M,mesopic,
0.3685,16214.88489,1M,mesopic,
0.2479,29611.87457,1M,mesopic,
0.346,25571.65078,1M,mesopic,
0.2386,51706.93155,1M,mesopic,
0.4832,30319.79925,1M,mesopic,
0.5051,14589.16038,1M,mesopic,
0.4374,33875.18011,1M,mesopic,
0.4905,22893.90117,1M,mesopic,
0.2625,23850.62351,1M,mesopic,
0.4567,17411.51812,1M,mesopic,
0.23,27911.68501,1M,mesopic,
0.4222,6184.507995,1M,mesopic,
0.3791,7470.161185,1M,mesopic,
0.3453,15618.12903,1M,mesopic,
0.4129,28151.70412,1M,mesopic,
0.4799,5044.889636,1M,mesopic,
0.4229,12585.01421,1M,mesopic,
0.3983,21554.87652,1M,mesopic,
0.2592,4939.302384,1M,mesopic,
0.3427,7276.680342,1M,mesopic,
0.4235,19578.46477,1M,mesopic,
0.2611,21445.72632,1M,mesopic,
0.3679,21715.38161,1M,mesopic,
0.2479,22014.14053,1M,mesopic,
0.3732,22305.9986,1M,mesopic,
0.4746,13386.85527,1M,mesopic,
0.2698,9436.567796,1M,mesopic,
0.2558,11131.81225,1M,mesopic,
0.3639,12978.96175,1M,mesopic,
0.3321,6516.467993,1M,mesopic,
0.2492,24547.79275,1M,mesopic,
0.3838,20308.20276,1M,mesopic,
0.4401,8894.287173,1M,mesopic,
0.2174,4959.326506,1M,mesopic,
0.2916,13556.40767,1M,mesopic,
0.3824,20568.25812,1M,mesopic,
0.2631,27942.28429,1M,mesopic,
0.4202,16942.46174,1M,mesopic,
0.4865,13658.97134,1M,mesopic,
0.2598,38181.42567,1M,mesopic,
0.2479,31917.97517,1M,mesopic,
0.2572,49365.29047,1M,mesopic,
0.4706,16144.36412,1M,mesopic,
0.4487,15618.91468,1M,mesopic,
0.2618,14904.68172,1M,mesopic,
0.4089,24709.49668,1M,mesopic,
0.3685,12438.66383,1M,mesopic,
0.3685,25322.47686,1M,mesopic,
0.2558,27955.55839,1M,mesopic,
0.4752,8252.700621,1M,mesopic,
0.2539,22577.59809,1M,mesopic,
0.348,10621.02549,1M,mesopic,
0.3241,11505.84239,1M,mesopic,
0.344,6544.691954,1M,mesopic,
0.2532,28668.67665,1M,mesopic,
0.678707539,6083.271766,1M,mesopic,
0.4467,7931.793663,1M,mesopic,
0.4056,14008.00635,1M,mesopic,
0.4971,7644.458988,1M,mesopic,
0.3135,11944.01378,1M,mesopic,
0.4222,6858.750156,1M,mesopic,
0.456,35312.75825,1M,mesopic,
0.4295,25075.22496,1M,mesopic,
0.4196,18813.88512,1M,mesopic,
0.3155,20617.64859,1M,mesopic,
0.3181,17053.27361,1M,mesopic,
0.3559,6885.154467,1M,mesopic,
0.3195,6948.459394,1M,mesopic,
NA,7275.316366,1M,mesopic,
0.2658,18952.64204,1M,mesopic,
0.2525,28636.40778,1M,mesopic,
0.4308,13954.84443,1M,mesopic,
0.2313,20015.5317,1M,mesopic,
0.3937,12277.71579,1M,mesopic,
0.5017,9704.842994,1M,mesopic,
0.2558,5208.036708,1M,mesopic,
0.5713,6505.228008,1M,mesopic,
NA,16702.36079,1M,mesopic,
0.2724,46419.48305,1M,mesopic,
NA,3870.49335,1M,mesopic,
0.2545,17150.08454,1M,mesopic,
0.3036,5765.484827,1M,mesopic,
0.644904722,15293.51364,1M,mesopic,
0.4441,12426.07521,1M,mesopic,
0.4275,10518.21547,1M,mesopic,
0.407,14692.87352,1M,mesopic,
0.2267,18790.24219,1M,mesopic,
0.3075,21615.43313,1M,mesopic,
0.4196,16325.13735,1M,mesopic,
0.3698,14986.08921,1M,mesopic,
0.4845,15156.52882,1M,mesopic,
0.452,7099.702134,1M,mesopic,
0.348,16250.92023,1M,mesopic,
0.2618,20504.69195,1M,mesopic,
0.2499,22246.41935,1M,mesopic,
0.3354,13430.5605,1M,mesopic,
0.2651,7448.579759,1M,mesopic,
0.2691,27153.09088,1M,mesopic,
0.4374,15402.04072,1M,mesopic,
0.3387,14323.55263,1M,mesopic,
0.2611,6118.06279,1M,mesopic,
0.3221,7242.206181,1M,mesopic,
0.2572,4652.460236,1M,mesopic,
0.5521,4262.193798,1M,mesopic,
0.4249,15448.10106,1M,mesopic,
0.521,11802.81138,1M,mesopic,
0.3983,12083.85783,1M,mesopic,
0.3281,5824.012781,1M,mesopic,
0.346,5873.053712,1M,mesopic,
0.2366,5750.353369,1M,mesopic,
0.2379,7465.656417,1M,mesopic,
0.23,31340.32941,1M,mesopic,
0.2717,6986.304119,1M,mesopic,
0.3115,6624.385107,1M,mesopic,
0.3281,21705.83433,1M,mesopic,
0.3944,21225.55099,1M,mesopic,
0.3758,10334.66,1M,mesopic,
0.3857,6293.516532,1M,mesopic,
0.3142,4736.763946,1M,mesopic,
0.228,11461.84438,1M,mesopic,
0.4898,10640.5634,1M,mesopic,
0.4123,5472.499785,1M,mesopic,
0.2784,33522.73109,1M,mesopic,
0.3473,14870.21194,1M,mesopic,
0.3433,14469.21504,1M,mesopic,
0.4162,20165.49005,1M,mesopic,
0.4275,14389.98526,1M,mesopic,
0.3122,6446.192916,1M,mesopic,
0.3559,18310.57807,1M,mesopic,
0.3354,10060.10454,1M,mesopic,
0.5853,29172.23393,1M,mesopic,
0.5945,10691.21483,1M,mesopic,
0.642253521,5273.262128,1M,mesopic,
0.651532726,36611.02439,1M,mesopic,
0.4169,10568.85019,1M,mesopic,
0.2432,18967.12495,1M,mesopic,
0.603811102,11148.10593,1M,mesopic,
0.5879,37563.81785,1M,mesopic,
NA,21071.56564,1M,mesopic,
0.236,25467.0363,1M,mesopic,
0.2446,29641.62764,1M,mesopic,
0.4143,9576.184535,1M,mesopic,
0.4176,35959.87828,1M,mesopic,
0.3301,5987.724464,1M,mesopic,
0.3069,4469.330483,1M,mesopic,
0.5037,9748.97369,1M,mesopic,
0.2817,14505.01325,1M,mesopic,
0.4136,26838.18584,1M,mesopic,
0.3924,22196.00743,1M,mesopic,
0.3751,13190.97149,1M,mesopic,
0.3632,17929.58156,1M,mesopic,
0.4096,9327.932282,1M,mesopic,
0.3983,36283.41685,1M,mesopic,
0.3281,11638.1099,1M,mesopic,
0.4925,11519.30236,1M,mesopic,
0.2499,19340.36651,1M,mesopic,
0.2638,33271.85443,1M,mesopic,
