spkr,age,lightlevel,contrast,.
1.258875769,0,mesopic,2,
1.232628159,0,mesopic,2,
1.14833214,0,mesopic,2,
1.167132544,0,mesopic,2,
1.335184672,0,mesopic,2,
1.300897423,0,mesopic,2,
1.365632614,0,mesopic,2,
1.355157225,0,mesopic,2,
1.184865894,0,mesopic,2,
1.525203555,0,mesopic,2,
1.157406216,0,mesopic,2,
1.240534794,0,mesopic,2,
1.349725419,0,mesopic,2,
1.440806001,0,mesopic,2,
1.222302671,0,mesopic,2,
1.243127656,0,mesopic,2,
1.210552077,0,mesopic,2,
1.350521542,0,mesopic,2,
1.362672574,0,mesopic,2,
1.16254617,0,mesopic,2,
1.182349443,0,mesopic,2,
1.234872771,0,mesopic,2,
1.401329917,0,mesopic,2,
1.101534583,0,mesopic,2,
1.207211198,0,mesopic,2,
1.264852569,0,mesopic,2,
1.20422261,0,mesopic,2,
1.343262202,0,mesopic,2,
1.178474799,0,mesopic,2,
1.362127357,0,mesopic,2,
1.195019703,0,mesopic,2,
1.327847046,0,mesopic,2,
1.023433175,0,mesopic,2,
1.367106928,0,mesopic,2,
1.209765271,0,mesopic,2,
1.253476761,0,mesopic,2,
1.229702513,0,mesopic,2,
1.102485607,0,mesopic,2,
1.194255927,0,mesopic,2,
1.388597988,0,mesopic,2,
1.383257802,0,mesopic,2,
1.222429647,0,mesopic,2,
0.94040596,0,mesopic,2,
1.573793254,0,mesopic,2,
1.256569748,0,mesopic,2,
1.256454483,0,mesopic,2,
1.238622483,0,mesopic,2,
1.251192086,0,mesopic,2,
1.26854837,0,mesopic,2,
1.302192589,0,mesopic,2,
1.352567398,0,mesopic,2,
1.24769663,0,mesopic,2,
1.204185512,0,mesopic,2,
1.157038284,0,mesopic,2,
1.237504639,0,mesopic,2,
1.369001504,0,mesopic,2,
1.309202319,0,mesopic,2,
1.430640288,0,mesopic,2,
1.216785612,0,mesopic,2,
1.345903888,0,mesopic,2,
1.152821904,0,mesopic,2,
1.092911316,0,mesopic,2,
1.351287511,0,mesopic,2,
1.379992,0,mesopic,2,
1.276130833,0,mesopic,2,
1.260157909,0,mesopic,2,
0.94765468,0,mesopic,2,
1.292825666,0,mesopic,2,
1.195816897,0,mesopic,2,
