time_to_zero,rf_area,condition,stimulus
0.2625,16799.8844139499,1M,photopic
0.177,1885.95753039092,1M,photopic
0.2323,10255.5616346035,1M,photopic
0.2104,3921.14650321725,1M,photopic
0.1541,21174.4317058273,1M,photopic
0.231,10644.51750741,1M,photopic
0.2303,12935.868635701,1M,photopic
0.1793,9846.93472841965,1M,photopic
0.1445,16692.0417662233,1M,photopic
0.2615,22587.528090921,1M,photopic
0.18,8940.51234659117,1M,photopic
0.1657,2121.27798781315,1M,photopic
0.1839,8140.41251088064,1M,photopic
0.1664,2793.4616661911,1M,photopic
0.166,2511.34037621496,1M,photopic
0.1892,22229.2785359439,1M,photopic
0.1876,8936.49738997856,1M,photopic
0.1448,8782.46131558318,1M,photopic
0.1485,14344.0785290808,1M,photopic
0.1511,25939.3140382633,1M,photopic
0.1806,3143.68413886975,1M,photopic
0.1551,17966.5099380406,1M,photopic
0.1733,7384.93716404479,1M,photopic
0.177,10364.5670384848,1M,photopic
0.1783,15509.2399305791,1M,photopic
0.1511,19563.5343164313,1M,photopic
0.36155758077879,4023.1286878033,1M,photopic
0.2439,8954.62691144827,1M,photopic
0.1624,12975.2470230444,1M,photopic
0.1548,56191.6330905863,1M,photopic
0.1597,16182.5245557558,1M,photopic
0.1647,12663.0521386486,1M,photopic
0.22,37063.0617968758,1M,photopic
0.1581,9800.1431150974,1M,photopic
0.1501,14820.2834245557,1M,photopic
0.1687,10547.4377156618,1M,photopic
0.1418,3871.06259376219,1M,photopic
0.1591,22500.8533058528,1M,photopic
0.171,10631.5084342309,1M,photopic
0.1428,29827.2499522999,1M,photopic
0.1395,24020.996215243398,1M,photopic
0.1491,25721.6294119528,1M,photopic
0.1737,69263.5808642671,1M,photopic
0.2121,11106.9155312916,1M,photopic
0.15310000000000001,5432.05309503477,1M,photopic
0.2081,43722.8500462449,1M,photopic
0.1713,3668.25895156688,1M,photopic
0.1664,12097.474757742,1M,photopic
0.2615,11116.9510838199,1M,photopic
0.1442,23967.0876643604,1M,photopic
0.1551,11910.9365022951,1M,photopic
0.1594,9140.96427844556,1M,photopic
NA,2845.5812540763,1M,photopic
0.2366,13702.1829162521,1M,photopic
0.2512,5269.57434155832,1M,photopic
0.1929,22502.2133352089,1M,photopic
0.1591,10190.6281290494,1M,photopic
0.2804,3445.81781670303,1M,photopic
0.2336,9453.46334975346,1M,photopic
0.172,14223.5672204803,1M,photopic
0.169,1736.92162079415,1M,photopic
0.1624,5163.81523692963,1M,photopic
0.1644,1654.74766124235,1M,photopic
0.2638,3429.46582970892,1M,photopic
0.2601,4403.40496579387,1M,photopic
0.2731,8777.957665773,1M,photopic
0.2273,9621.05757475809,1M,photopic
0.1601,8175.43868741767,1M,photopic
0.2045,12144.5487562903,1M,photopic
0.2389,7358.0390126514,1M,photopic
0.1793,7103.38891361285,1M,photopic
0.1988,10703.5277856764,1M,photopic
0.171,13796.3402423026,1M,photopic
0.1674,10009.0671241984,1M,photopic
0.1707,17300.2959891867,1M,photopic
0.176,6140.07509186359,1M,photopic
0.1624,8663.70960922892,1M,photopic
0.2244,12892.6172356783,1M,photopic
0.1471,32571.6310847919,1M,photopic
0.1925,64002.4927858846,1M,photopic
0.2565,15147.6324061819,1M,photopic
0.2552,2871.03387523368,1M,photopic
0.2128,1551.7757856366,1M,photopic
0.2068,17128.8821139934,1M,photopic
0.2502,33856.0919351173,1M,photopic
0.1886,4995.42765228369,1M,photopic
0.2108,25156.6693337327,1M,photopic
0.1644,16953.2063719735,1M,photopic
0.1856,11982.0579773214,1M,photopic
0.1862,5855.19503099152,1M,photopic
0.2194,13768.3736144718,1M,photopic
0.2065,7995.55735343454,1M,photopic
0.1849,9639.61679192455,1M,photopic
0.2727,16737.7814676884,1M,photopic
0.1886,12666.1106227558,1M,photopic
0.2724,12441.0115274886,1M,photopic
0.1862,16693.0098536607,1M,photopic
0.1604,18747.6776805462,1M,photopic
0.169,19652.5563378748,1M,photopic
0.1866,8377.21663937565,1M,photopic
0.2104,9911.04747419343,1M,photopic
0.1776,13188.2834200831,1M,photopic
0.1604,12572.9426995638,1M,photopic
0.1723,12068.7734036252,1M,photopic
0.289,41034.6507042165,1M,photopic
0.2698,10874.1614727628,1M,photopic
0.1945,9987.80751059613,1M,photopic
0.2877,8453.89136386731,1M,photopic
0.2535,1656.23605798955,1M,photopic
0.1816,10963.1916523172,1M,photopic
0.1793,1448.93933872459,1M,photopic
0.1379,12762.4203981318,1M,photopic
0.1481,6540.47098173554,1M,photopic
0.1972,5684.58678943454,1M,photopic
0.1872,28805.2791964846,1M,photopic
0.1475,26733.4297651744,1M,photopic
0.2273,15898.633795388,1M,photopic
0.1816,23325.8786876831,1M,photopic
0.2204,18759.3896190051,1M,photopic
0.1803,11909.3190458526,1M,photopic
0.2045,13528.1896370597,1M,photopic
0.1581,20379.1690655813,1M,photopic
0.1684,11963.6973581322,1M,photopic
0.1452,15004.7504006402,1M,photopic
0.1756,18785.1487850854,1M,photopic
0.2177,17329.8099738926,1M,photopic
0.1899,28338.9377783654,1M,photopic
0.2157,5064.54384752601,1M,photopic
0.1518,24319.6617888795,1M,photopic
0.1876,13995.7114903988,1M,photopic
0.2648,9906.06467268963,1M,photopic
0.1899,11865.8208453645,1M,photopic
0.179,26674.6415187759,1M,photopic
0.2598,13826.2259752285,1M,photopic
0.1568,17277.2057996501,1M,photopic
0.1591,28752.5103773855,1M,photopic
0.168,4395.70267244256,1M,photopic
0.1849,4966.11997272995,1M,photopic
0.1862,16478.6334381772,1M,photopic
0.176,26018.6578770774,1M,photopic
0.1826,32075.5434066069,1M,photopic
0.2031,2900.20717760232,1M,photopic
0.2098,2535.88431271321,1M,photopic
0.2184,5731.44125271781,1M,photopic
0.2495,16297.5436990743,1M,photopic
0.174,18772.5931881674,1M,photopic
0.2386,21399.0088221752,1M,photopic
0.306213753106877,9567.6006945375,1M,photopic
0.284,48142.8700011566,1M,photopic
0.168,24067.1335019407,1M,photopic
0.1952,14434.8008395753,1M,photopic
0.1829,4581.73650706845,1M,photopic
0.1919,12315.9821884533,1M,photopic
0.2628,26750.1690500059,1M,photopic
NA,13575.8130835046,1M,photopic
0.1491,28425.5231912492,1M,photopic
0.2234,17708.5116983246,1M,photopic
0.1935,2264.99576440558,1M,photopic
0.2141,7010.45581994215,1M,photopic
0.2923,11412.2350026822,1M,photopic
0.2138,5453.67933172561,1M,photopic
0.1796,21821.25975076,1M,photopic
0.175,33645.3408307699,1M,photopic
0.1819,4949.04946432837,1M,photopic
0.2843,5587.26235126387,1M,photopic
0.17,3158.71343744693,1M,photopic
0.1717,1125.00237925944,1M,photopic
0.1637,4736.28580420893,1M,photopic
0.2184,35801.1434223493,1M,photopic
0.2002,9021.29008028612,1M,photopic
0.1766,3258.89180597357,1M,photopic
0.1912,3452.61819011155,1M,photopic
