spikerate,info,index,genotype,months
23.6666666666667,16.6337174924038,1,WT,0
21,21.7951822995369,2,WT,0
8.66666666666667,13.5178879876473,7,WT,0
12.5555555555556,15.7508323640358,30,WT,0
15.2222222222222,24.3201066609996,44,WT,0
24,26.9046524582842,71,WT,0
12.1111111111111,14.2833870528395,72,WT,0
57.1111111111111,48.1778826530795,74,WT,0
13.2222222222222,15.5728154788527,76,WT,0
24.3333333333333,31.6808669629172,106,WT,0
22.7777777777778,12.9878847691579,150,WT,0
18,11.5808585910521,151,WT,0
23.1111111111111,30.8485493530142,153,WT,0
10.7777777777778,13.7717991019885,154,WT,0
59.8888888888889,38.9058868990567,171,WT,0
34.3333333333333,35.8667033382761,173,WT,0
8.55555555555556,14.2064332129868,184,WT,0
18.4444444444444,15.9212055106712,186,WT,0
13.3333333333333,12.0882294351391,188,WT,0
33.3333333333333,20.7873606130748,199,WT,0
12,12.1032173242797,216,WT,0
9.55555555555556,17.7873032133904,222,WT,0
8.55555555555556,12.4250775322224,246,WT,0
40.2222222222222,12.5209952202681,255,WT,0
33.6666666666667,36.9362927888445,258,WT,0
18.7777777777778,18.031912747491,272,WT,0
16.6666666666667,11.7320098324024,277,WT,0
42.8888888888889,44.3469083731229,287,WT,0
18,21.418367721162,289,WT,0
68.2222222222222,43.820724702026,293,WT,0
27.4444444444444,17.3614134052462,312,WT,0
41.5555555555556,40.6416103936713,319,WT,0
14,16.3022972137517,326,WT,0
17.4444444444444,14.5096212330731,330,WT,0
22.7777777777778,13.7397632912555,331,WT,0
31.4444444444444,32.8011959525313,333,WT,0
59.8888888888889,40.7999794447418,337,WT,0
7.22222222222222,12.7963815268796,342,WT,0
10.4444444444444,16.291262320716,343,WT,0
49.6666666666667,50.4863894042477,344,WT,0
60,44.9730894062249,345,WT,0
27.8888888888889,37.2105069923381,346,WT,0
13,17.6018872469209,357,WT,0
7,14.1357665711333,360,WT,0
6.88888888888889,12.0717719369764,375,WT,0
35,35.4700336358843,381,WT,0
14.7777777777778,23.0929547315414,396,WT,0
61.5555555555556,52.4058816822312,422,WT,0
35.7777777777778,45.4970019842851,424,WT,0
48.3333333333333,45.4406613205811,435,WT,0
24.7777777777778,24.4352689538184,436,WT,0
16,16.5278793812103,437,WT,0
9.33333333333333,15.4467824129848,469,WT,0
50,46.7318656609445,472,WT,0
33,37.3798726207451,475,WT,0
19.5555555555556,21.3641424955195,484,WT,0
12.8888888888889,11.9062749839927,492,WT,0
19.6666666666667,17.1198003263224,572,WT,0
32.2222222222222,28.9219358576188,579,WT,0
27.6666666666667,31.6441804695836,45,WT,0
10.6666666666667,19.8043516871728,104,WT,0
36,35.3289545502728,107,WT,0
12.4444444444444,18.0137839778948,108,WT,0
22.3333333333333,24.9033995542486,109,WT,0
38,45.371576193457,117,WT,0
25.2222222222222,31.2857609720573,123,WT,0
20.6666666666667,22.6831284377704,124,WT,0
37.7777777777778,44.3986056858096,126,WT,0
28.1111111111111,32.6924093289496,128,WT,0
14,21.8120943371448,134,WT,0
26.8888888888889,28.0180486727769,135,WT,0
38.3333333333333,31.0725542011862,136,WT,0
19.4444444444444,19.6479206263209,140,WT,0
21,24.9078448194345,156,WT,0
9.88888888888889,16.3964056601095,164,WT,0
25.6666666666667,28.3296240328423,165,WT,0
25.1111111111111,26.9845229695946,171,WT,0
20,22.3206959532804,172,WT,0
22.4444444444444,25.2717522181654,173,WT,0
22.7777777777778,34.3201028018274,192,WT,0
42.5555555555556,48.9317034360639,200,WT,0
32.4444444444444,32.4758369057971,220,WT,0
25.3333333333333,31.7700144138297,223,WT,0
25,37.5667868171331,224,WT,0
12.4444444444444,17.0059778307547,231,WT,0
15.2222222222222,22.6101000722729,241,WT,0
34.1111111111111,42.5247170383116,243,WT,0
9,16.4457079548592,260,WT,0
31.2222222222222,33.6037526354629,267,WT,0
33.3333333333333,33.8333737514171,268,WT,0
20.5555555555556,23.6592454407416,279,WT,0
28.4444444444444,37.5265479819652,284,WT,0
35.1111111111111,44.4593542607198,287,WT,0
26.2222222222222,37.9666050639808,297,WT,0
20.2222222222222,27.0242492698227,320,WT,0
33.3333333333333,18.7639512535002,367,WT,0
14.3333333333333,23.6311420473371,377,WT,0
54.3333333333333,46.5736261323677,378,WT,0
16.3333333333333,26.8724726747247,385,WT,0
27.3333333333333,37.4556536737209,391,WT,0
22.7777777777778,22.466211129562,415,WT,0
13.5555555555556,16.8931142518478,416,WT,0
11.3333333333333,19.5360922864604,435,WT,0
19.5555555555556,28.1989444508065,445,WT,0
30.6666666666667,39.0078592544694,448,WT,0
14.4444444444444,23.6169541689959,461,WT,0
13.2222222222222,17.8325312468786,463,WT,0
26.4444444444444,24.232383483998,19,WT,0
25,20.7523676237259,20,WT,0
48.3333333333333,36.7450757647989,145,WT,0
7.33333333333333,9.06521415032335,149,WT,0
19.2222222222222,20.4966349522076,152,WT,0
19.8888888888889,18.2321917531123,153,WT,0
19.1111111111111,28.5550963404977,165,WT,0
3.33333333333333,8.80004642708368,169,WT,0
4.88888888888889,7.60579080853333,171,WT,0
26.3333333333333,24.0410487883214,173,WT,0
31.7777777777778,23.9235225083223,174,WT,0
8.11111111111111,16.3021504350906,202,WT,0
41.8888888888889,39.2333684422592,222,WT,0
5.66666666666667,8.61746279606813,223,WT,0
4.33333333333333,6.45031502809272,227,WT,0
12.5555555555556,17.4776545654263,230,WT,0
17,11.8986493826061,247,WT,0
23.6666666666667,21.7178421971258,251,WT,0
14.8888888888889,12.518631245033,253,WT,0
16.3333333333333,13.6790558664344,254,WT,0
9.66666666666667,16.9189966931852,257,WT,0
13.2222222222222,19.2007861269188,273,WT,0
5.11111111111111,8.32036818398374,274,WT,0
25,14.4012051500425,321,WT,0
6,11.7346496392087,322,WT,0
6.88888888888889,8.63449581021897,325,WT,0
6.44444444444444,8.86196906226026,334,WT,0
20.2222222222222,25.1825878026285,344,WT,0
5,6.63864282362426,348,WT,0
18.6666666666667,14.8768981716407,349,WT,0
4.77777777777778,6.50226883974368,350,WT,0
14.2222222222222,19.6300147081976,353,WT,0
7,9.99184511638893,354,WT,0
26.1111111111111,35.0816657854034,361,WT,0
